Year,Host,Player,Country,Goals
1930,Uruguay,Guillermo Stábile,Argentina,8
1934,Italy,Oldřich Nejedlý,Czechoslovakia,5
1938,France,Leônidas,Brazil,7
1950,Brazil,Ademir,Brazil,8
1954,Switzerland,Sándor Kocsis,Hungary,11
1958,Sweden,Just Fontaine,France,13
1962,Chile,Garrincha / Vavá / Others,Multiple,4
1966,England,Eusébio,Portugal,9
1970,Mexico,Gerd Müller,West Germany,10
1974,West Germany,Grzegorz Lato,Poland,7
1978,Argentina,Mario Kempes,Argentina,6
1982,Spain,Paolo Rossi,Italy,6
1986,Mexico,Gary Lineker,England,6
1990,Italy,Salvatore Schillaci,Italy,6
1994,United States,Oleg Salenko / Hristo Stoichkov,Russia / Bulgaria,6
1998,France,Davor Šuker,Croatia,6
2002,South Korea / Japan,Ronaldo,Brazil,8
2006,Germany,Miroslav Klose,Germany,5
2010,South Africa,Thomas Müller,Germany,5
2014,Brazil,James Rodríguez,Colombia,6
2018,Russia,Harry Kane,England,6
2022,Qatar,Kylian Mbappé,France,8
