Rank,Country,Points,Confederation,World_Cup_Titles,Best_WC_Finish,Continental_Titles
1,Spain,1877.18,UEFA,1,Champions (2010),12
2,Argentina,1873.33,CONMEBOL,3,Champions (2022),15
3,France,1870.0,UEFA,2,Champions (2018),3
4,England,1834.12,UEFA,1,Champions (1966),0
5,Brazil,1760.46,CONMEBOL,5,Champions (2002),9
6,Portugal,1760.38,UEFA,0,3rd Place (1966),2
7,Netherlands,1756.27,UEFA,0,Runner-Up (2010),0
8,Morocco,1736.57,CAF,0,4th Place (2022),1
9,Belgium,1730.71,UEFA,0,3rd Place (2018),0
10,Germany,1724.15,UEFA,4,Champions (2014),3
11,Croatia,1716.88,UEFA,0,Runner-Up (2018),0
12,Senegal,1706.83,CAF,0,QF (2002),2
13,Italy,1702.06,UEFA,4,Champions (2006),2
14,Colombia,1701.3,CONMEBOL,0,QF (2014),1
15,United States,1681.88,CONCACAF,0,3rd Place (1930),7
16,Mexico,1675.75,CONCACAF,0,"QF (1970, 1986)",11
17,Uruguay,1672.62,CONMEBOL,2,Champions (1950),15
18,Switzerland,1654.69,UEFA,0,"QF (1934, 1938, 1954)",0
19,Japan,1650.12,AFC,0,"R16 (2002, 2010, 2018, 2022)",4
20,Iran,1617.02,AFC,0,Group Stage,3
21,Denmark,1610.0,UEFA,0,QF (1998),1
22,South Korea,1605.0,AFC,0,4th Place (2002),2
23,Ecuador,1600.0,CONMEBOL,0,R16 (2006),0
24,Austria,1595.0,UEFA,0,3rd Place (1954),0
25,Turkey,1590.0,UEFA,0,3rd Place (2002),0
26,Nigeria,1585.0,CAF,0,"R16 (1994, 1998, 2014)",3
27,Australia,1580.0,AFC,0,"R16 (2006, 2022)",4
28,Algeria,1575.0,CAF,0,R16 (2014),2
29,Canada,1570.0,CONCACAF,0,Group Stage (2022),8
30,Ukraine,1557.0,UEFA,0,QF (2006),0
