Pais,Posicao,Quantidade
Brazil,Campeao,5
Germany,Campeao,4
Germany,Vice,4
Germany,Terceiro,4
Italy,Campeao,4
Netherlands,Vice,3
Argentina,Vice,3
Argentina,Campeao,3
France,Terceiro,2
France,Vice,2
Czechoslovakia,Vice,2
Hungary,Vice,2
Brazil,Vice,2
France,Campeao,2
Croatia,Terceiro,2
Brazil,Terceiro,2
Uruguay,Campeao,2
Italy,Vice,2
Sweden,Terceiro,2
Poland,Terceiro,2
Austria,Terceiro,1
England,Campeao,1
Belgium,Terceiro,1
Chile,Terceiro,1
Croatia,Vice,1
Italy,Terceiro,1
Netherlands,Terceiro,1
Portugal,Terceiro,1
Spain,Campeao,1
Sweden,Vice,1
Turkey,Terceiro,1
USA,Terceiro,1
